OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10056,2025-01-01,FY25 Q1,Midwest,Artist Relations,Lakeside Strings,Alex Rivera,Foundry Custom,Guitar,Adirondack/Maple,35,2993.74,0.08,104780.9,51342.64,53438.26,Medium,Dealer replenishment
NAW-10057,2025-01-01,FY25 Q1,Midwest,Education,Main Street Frets,Taylor Brooks,Harbor OM,Guitar,Spruce/Rosewood,6,1554.14,0.12,9324.84,5035.41,4289.43,High,Dealer replenishment
NAW-10058,2025-01-01,FY25 Q1,Midwest,Artist Relations,Metro Music Supply,Morgan Evans,Coated Lifespan Strings,Accessory,String set,95,22.32,0,2120.4,826.96,1293.44,Low,Holiday prebuild
NAW-10059,2025-01-01,FY25 Q1,Midwest,E-commerce,Copper Canyon Guitars,Elliot Chen,Aurora Dreadnought,Guitar,Spruce/Mahogany,20,1208.07,0,24161.4,14013.61,10147.79,Medium,Accessory attach opportunity
NAW-10060,2025-01-01,FY25 Q1,Midwest,Education,Pacific Pick House,Alex Rivera,Premium Strap,Accessory,Accessory,58,44.2,0.03,2563.6,1179.26,1384.34,Medium,Artist clinic follow-up
NAW-10061,2025-01-01,FY25 Q1,Midwest,Distributor,Pacific Pick House,Riley Stone,Trail Mini,Guitar,HPL/Sapele,8,440.87,0.05,3526.96,2257.25,1269.71,Low,Back-to-school promotion
NAW-10062,2025-01-01,FY25 Q1,Midwest,Distributor,Bayfront Studio Gear,Priya Shah,Stage Cutaway,Guitar,Spruce/Ovangkol,18,1081.62,0.03,19469.16,11486.8,7982.36,Low,Back-to-school promotion
NAW-10063,2025-01-01,FY25 Q1,Midwest,Dealer,Riverbend Instruments,Taylor Brooks,Northstar Ukulele,Instrument,Mahogany,28,314.83,0.03,8815.24,5377.3,3437.94,Low,Artist clinic follow-up
NAW-10064,2025-01-01,FY25 Q1,Midwest,E-commerce,Main Street Frets,Jordan Lee,Harbor OM,Guitar,Spruce/Rosewood,17,1766.07,0,30023.19,16212.52,13810.67,Low,Back-to-school promotion
NAW-10065,2025-01-01,FY25 Q1,Midwest,Artist Relations,Riverbend Instruments,Morgan Evans,Northstar Ukulele,Instrument,Mahogany,16,292.11,0.1,4673.76,2850.99,1822.77,Low,Holiday prebuild
NAW-10066,2025-01-01,FY25 Q1,Midwest,Artist Relations,Soundpost Music,Samira Khan,Hardshell Case,Accessory,Case,20,183.3,0.1,3666.0,2382.9,1283.1,Low,Back-to-school promotion
NAW-10067,2025-01-01,FY25 Q1,Midwest,Education,Riverbend Instruments,Jordan Lee,Humidifier Kit,Accessory,Care,88,26.16,0.03,2302.08,989.89,1312.19,Medium,Artist clinic follow-up
NAW-10068,2025-01-01,FY25 Q1,Midwest,Dealer,Desert Tone Co.,Priya Shah,Humidifier Kit,Accessory,Care,77,24.27,0.1,1868.79,803.58,1065.21,Medium,Holiday prebuild
NAW-10069,2025-01-01,FY25 Q1,Midwest,Education,Main Street Frets,Dana Hart,Aurora Dreadnought,Guitar,Spruce/Mahogany,26,1171.83,0.03,30467.58,17671.2,12796.38,High,Holiday prebuild
NAW-10070,2025-01-01,FY25 Q1,Midwest,Artist Relations,Desert Tone Co.,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,33,1487.07,0,49073.31,27481.05,21592.26,Low,Accessory attach opportunity
NAW-10071,2025-01-01,FY25 Q1,Midwest,Artist Relations,Desert Tone Co.,Jordan Lee,Stage Cutaway,Guitar,Spruce/Ovangkol,32,981.26,0.12,31400.32,18526.19,12874.13,Low,Dealer replenishment
NAW-10072,2025-01-01,FY25 Q1,Midwest,Education,Soundpost Music,Morgan Evans,Premium Strap,Accessory,Accessory,75,45.57,0,3417.75,1572.16,1845.59,Low,Artist clinic follow-up
NAW-10073,2025-01-01,FY25 Q1,Midwest,Distributor,Riverbend Instruments,Dana Hart,Foundry Custom,Guitar,Adirondack/Maple,33,3156.45,0.03,104162.85,51039.8,53123.05,Low,Accessory attach opportunity
NAW-10074,2025-01-01,FY25 Q1,Midwest,Education,Metro Music Supply,Casey Morgan,Phosphor Bronze Strings,Accessory,String set,103,14.14,0.05,1456.42,611.7,844.72,Low,Back-to-school promotion
NAW-10075,2025-01-01,FY25 Q1,Midwest,Distributor,Desert Tone Co.,Taylor Brooks,Hardshell Case,Accessory,Case,24,197.56,0.03,4741.44,3081.94,1659.5,Medium,Holiday prebuild
NAW-10076,2025-01-01,FY25 Q1,Midwest,E-commerce,Main Street Frets,Samira Khan,Coated Lifespan Strings,Accessory,String set,68,20.09,0.1,1366.12,532.79,833.33,High,Artist clinic follow-up
NAW-10077,2025-01-01,FY25 Q1,Midwest,Dealer,Lakeside Strings,Casey Morgan,Summit Grand Auditorium,Guitar,Spruce/Walnut,25,1487.07,0,37176.75,20818.98,16357.77,Medium,Dealer replenishment
