OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10028,2025-01-01,FY25 Q1,Southeast,E-commerce,Blue Ridge Music,Dana Hart,Foundry Custom,Guitar,Adirondack/Maple,23,3258.27,0.03,74940.21,36720.7,38219.51,Medium,Accessory attach opportunity
NAW-10029,2025-01-01,FY25 Q1,Southeast,Dealer,Riverbend Instruments,Jordan Lee,Northstar Ukulele,Instrument,Mahogany,14,318.29,0.05,4456.06,2718.2,1737.86,Medium,Back-to-school promotion
NAW-10030,2025-01-01,FY25 Q1,Southeast,Artist Relations,Blue Ridge Music,Morgan Evans,Aurora Dreadnought,Guitar,Spruce/Mahogany,34,1097.4,0.12,37311.6,21640.73,15670.87,Medium,Holiday prebuild
NAW-10031,2025-01-01,FY25 Q1,Southeast,E-commerce,Pacific Pick House,Morgan Evans,Foundry Custom,Guitar,Adirondack/Maple,18,3359.04,0,60462.72,29626.73,30835.99,Medium,Back-to-school promotion
NAW-10032,2025-01-01,FY25 Q1,Southeast,Education,Blue Ridge Music,Riley Stone,Coated Lifespan Strings,Accessory,String set,26,21.89,0.05,569.14,221.96,347.18,Low,Dealer replenishment
NAW-10033,2025-01-01,FY25 Q1,Southeast,Dealer,Pacific Pick House,Priya Shah,Trail Mini,Guitar,HPL/Sapele,8,464.67,0.03,3717.36,2379.11,1338.25,High,Dealer replenishment
NAW-10034,2025-01-01,FY25 Q1,Southeast,E-commerce,Desert Tone Co.,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,32,1350.84,0.12,43226.88,24207.05,19019.83,Medium,Artist clinic follow-up
NAW-10035,2025-01-01,FY25 Q1,Southeast,Dealer,Desert Tone Co.,Jordan Lee,Stage Cutaway,Guitar,Spruce/Ovangkol,31,1093.49,0.05,33898.19,19999.93,13898.26,High,Dealer replenishment
NAW-10036,2025-01-01,FY25 Q1,Southeast,Artist Relations,Main Street Frets,Priya Shah,Phosphor Bronze Strings,Accessory,String set,49,14.59,0.05,714.91,300.26,414.65,Low,Accessory attach opportunity
NAW-10037,2025-01-01,FY25 Q1,Southeast,Artist Relations,Bayfront Studio Gear,Alex Rivera,Trail Mini,Guitar,HPL/Sapele,2,455.09,0.05,910.18,582.52,327.66,Low,Artist clinic follow-up
NAW-10038,2025-01-01,FY25 Q1,Southeast,Distributor,Soundpost Music,Priya Shah,Humidifier Kit,Accessory,Care,79,27.0,0.03,2133.0,917.19,1215.81,Medium,Back-to-school promotion
NAW-10039,2025-01-01,FY25 Q1,Southeast,Education,Metro Music Supply,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,125,13.52,0.12,1690.0,709.8,980.2,Low,Accessory attach opportunity
NAW-10040,2025-01-01,FY25 Q1,Southeast,Dealer,Bayfront Studio Gear,Morgan Evans,Coated Lifespan Strings,Accessory,String set,136,21.89,0.05,2977.04,1161.05,1815.99,Low,Holiday prebuild
NAW-10041,2025-01-01,FY25 Q1,Southeast,Education,Blue Ridge Music,Samira Khan,Coated Lifespan Strings,Accessory,String set,70,23.04,0,1612.8,628.99,983.81,High,Dealer replenishment
NAW-10042,2025-01-01,FY25 Q1,Southeast,E-commerce,Riverbend Instruments,Alex Rivera,Premium Strap,Accessory,Accessory,129,45.63,0.03,5886.27,2707.68,3178.59,Medium,Holiday prebuild
NAW-10043,2025-01-01,FY25 Q1,Southeast,E-commerce,Copper Canyon Guitars,Dana Hart,Stage Cutaway,Guitar,Spruce/Ovangkol,35,1116.51,0.03,39077.85,23055.93,16021.92,Medium,Accessory attach opportunity
NAW-10044,2025-01-01,FY25 Q1,Southeast,Dealer,Cedar Hall Music,Elliot Chen,Stage Cutaway,Guitar,Spruce/Ovangkol,13,1116.51,0.03,14514.63,8563.63,5951.0,Medium,Holiday prebuild
NAW-10045,2025-01-01,FY25 Q1,Southeast,Distributor,Desert Tone Co.,Dana Hart,Northstar Ukulele,Instrument,Mahogany,32,318.29,0.05,10185.28,6213.02,3972.26,Low,Back-to-school promotion
NAW-10046,2025-01-01,FY25 Q1,Southeast,Artist Relations,Cedar Hall Music,Dana Hart,Aurora Dreadnought,Guitar,Spruce/Mahogany,34,1097.4,0.12,37311.6,21640.73,15670.87,Medium,Accessory attach opportunity
NAW-10047,2025-01-01,FY25 Q1,Southeast,Education,Soundpost Music,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,28,1350.84,0.12,37823.52,21181.17,16642.35,Low,Back-to-school promotion
NAW-10048,2025-01-01,FY25 Q1,Southeast,Dealer,Main Street Frets,Jordan Lee,Premium Strap,Accessory,Accessory,93,43.28,0.08,4025.04,1851.52,2173.52,Medium,Holiday prebuild
NAW-10049,2025-01-01,FY25 Q1,Southeast,E-commerce,Cedar Hall Music,Casey Morgan,Phosphor Bronze Strings,Accessory,String set,79,13.52,0.12,1068.08,448.59,619.49,Low,Accessory attach opportunity
NAW-10050,2025-01-01,FY25 Q1,Southeast,Dealer,Copper Canyon Guitars,Jordan Lee,Humidifier Kit,Accessory,Care,137,27.84,0,3814.08,1640.05,2174.03,Low,Artist clinic follow-up
NAW-10051,2025-01-01,FY25 Q1,Southeast,Dealer,Prairie Note,Elliot Chen,Foundry Custom,Guitar,Adirondack/Maple,28,3258.27,0.03,91231.56,44703.46,46528.1,Low,Holiday prebuild
NAW-10052,2025-01-01,FY25 Q1,Southeast,E-commerce,Cedar Hall Music,Riley Stone,Harbor OM,Guitar,Spruce/Rosewood,17,1731.89,0.05,29442.13,15898.75,13543.38,Medium,Back-to-school promotion
NAW-10053,2025-01-01,FY25 Q1,Southeast,Dealer,Bayfront Studio Gear,Jordan Lee,Aurora Dreadnought,Guitar,Spruce/Mahogany,16,1209.63,0.03,19354.08,11225.37,8128.71,Medium,Accessory attach opportunity
NAW-10054,2025-01-01,FY25 Q1,Southeast,Artist Relations,Desert Tone Co.,Dana Hart,Premium Strap,Accessory,Accessory,72,47.04,0,3386.88,1557.96,1828.92,High,Accessory attach opportunity
NAW-10055,2025-01-01,FY25 Q1,Southeast,E-commerce,Soundpost Music,Priya Shah,Coated Lifespan Strings,Accessory,String set,78,22.35,0.03,1743.3,679.89,1063.41,Low,Back-to-school promotion
NAW-10168,2025-01-01,FY25 Q1,Southeast,Artist Relations,Bayfront Studio Gear,Taylor Brooks,Trail Mini,Guitar,HPL/Sapele,11,483.26,0.03,5315.86,3402.15,1913.71,Low,Back-to-school promotion
NAW-10169,2025-01-01,FY25 Q1,Southeast,Artist Relations,Metro Music Supply,Morgan Evans,Harbor OM,Guitar,Spruce/Rosewood,24,1706.37,0.1,40952.88,22114.56,18838.32,High,Holiday prebuild
NAW-10170,2025-01-01,FY25 Q1,Southeast,Education,Cedar Hall Music,Elliot Chen,Aurora Dreadnought,Guitar,Spruce/Mahogany,25,1296.92,0,32423.0,18805.34,13617.66,Low,Back-to-school promotion
NAW-10171,2025-01-01,FY25 Q1,Southeast,E-commerce,Cedar Hall Music,Elliot Chen,Humidifier Kit,Accessory,Care,30,26.64,0.08,799.2,343.66,455.54,Medium,Back-to-school promotion
NAW-10172,2025-01-01,FY25 Q1,Southeast,Distributor,Riverbend Instruments,Jordan Lee,Humidifier Kit,Accessory,Care,49,26.06,0.1,1276.94,549.08,727.86,Low,Dealer replenishment
NAW-10173,2025-01-01,FY25 Q1,Southeast,Distributor,Desert Tone Co.,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,110,15.5,0.03,1705.0,716.1,988.9,High,Back-to-school promotion
NAW-10174,2025-01-01,FY25 Q1,Southeast,Artist Relations,Metro Music Supply,Priya Shah,Northstar Ukulele,Instrument,Mahogany,38,331.02,0.05,12578.76,7673.04,4905.72,Medium,Holiday prebuild
NAW-10175,2025-01-01,FY25 Q1,Southeast,E-commerce,Blue Ridge Music,Elliot Chen,Northstar Ukulele,Instrument,Mahogany,27,313.6,0.1,8467.2,5164.99,3302.21,Medium,Artist clinic follow-up
NAW-10176,2025-01-01,FY25 Q1,Southeast,Dealer,Soundpost Music,Taylor Brooks,Premium Strap,Accessory,Accessory,22,43.05,0.12,947.1,435.67,511.43,Medium,Artist clinic follow-up
