OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10000,2025-01-01,FY25 Q1,Northeast,Artist Relations,Bayfront Studio Gear,Elliot Chen,Hardshell Case,Accessory,Case,94,220.93,0.03,20767.42,13498.82,7268.6,Medium,Accessory attach opportunity
NAW-10001,2025-01-01,FY25 Q1,Northeast,Dealer,Prairie Note,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,149,16.64,0,2479.36,1041.33,1438.03,Medium,Accessory attach opportunity
NAW-10002,2025-01-01,FY25 Q1,Northeast,Education,Metro Music Supply,Elliot Chen,Harbor OM,Guitar,Spruce/Rosewood,17,1974.96,0,33574.32,18130.13,15444.19,Low,Back-to-school promotion
NAW-10003,2025-01-01,FY25 Q1,Northeast,Artist Relations,Main Street Frets,Elliot Chen,Summit Grand Auditorium,Guitar,Spruce/Walnut,12,1496.66,0.1,17959.92,10057.56,7902.36,Medium,Dealer replenishment
NAW-10004,2025-01-01,FY25 Q1,Northeast,Distributor,Lakeside Strings,Priya Shah,Coated Lifespan Strings,Accessory,String set,27,23.71,0.05,640.17,249.67,390.5,High,Artist clinic follow-up
NAW-10005,2025-01-01,FY25 Q1,Northeast,Education,Riverbend Instruments,Alex Rivera,Phosphor Bronze Strings,Accessory,String set,110,15.81,0.05,1739.1,730.42,1008.68,Low,Back-to-school promotion
NAW-10006,2025-01-01,FY25 Q1,Northeast,Education,Bayfront Studio Gear,Jordan Lee,Premium Strap,Accessory,Accessory,62,45.86,0.1,2843.32,1307.93,1535.39,Medium,Back-to-school promotion
NAW-10007,2025-01-01,FY25 Q1,Northeast,Artist Relations,Cedar Hall Music,Samira Khan,Trail Mini,Guitar,HPL/Sapele,30,456.68,0.12,13700.4,8768.26,4932.14,Medium,Holiday prebuild
NAW-10008,2025-01-01,FY25 Q1,Northeast,Distributor,Blue Ridge Music,Casey Morgan,Premium Strap,Accessory,Accessory,107,44.84,0.12,4797.88,2207.02,2590.86,Low,Back-to-school promotion
NAW-10009,2025-01-01,FY25 Q1,Northeast,Dealer,Pacific Pick House,Morgan Evans,Harbor OM,Guitar,Spruce/Rosewood,7,1816.96,0.08,12718.72,6868.11,5850.61,High,Holiday prebuild
NAW-10010,2025-01-01,FY25 Q1,Northeast,Dealer,Riverbend Instruments,Samira Khan,Humidifier Kit,Accessory,Care,42,26.54,0.12,1114.68,479.31,635.37,Low,Holiday prebuild
NAW-10011,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Jordan Lee,Aurora Dreadnought,Guitar,Spruce/Mahogany,37,1215.86,0.1,44986.82,26092.36,18894.46,High,Artist clinic follow-up
NAW-10012,2025-01-01,FY25 Q1,Northeast,Education,Copper Canyon Guitars,Samira Khan,Coated Lifespan Strings,Accessory,String set,39,22.96,0.08,895.44,349.22,546.22,Low,Artist clinic follow-up
NAW-10013,2025-01-01,FY25 Q1,Northeast,E-commerce,Riverbend Instruments,Priya Shah,Aurora Dreadnought,Guitar,Spruce/Mahogany,16,1242.88,0.08,19886.08,11533.93,8352.15,High,Accessory attach opportunity
NAW-10014,2025-01-01,FY25 Q1,Northeast,Education,Metro Music Supply,Samira Khan,Aurora Dreadnought,Guitar,Spruce/Mahogany,6,1188.84,0.12,7133.04,4137.16,2995.88,Low,Accessory attach opportunity
NAW-10015,2025-01-01,FY25 Q1,Northeast,Dealer,Soundpost Music,Priya Shah,Coated Lifespan Strings,Accessory,String set,130,22.96,0.08,2984.8,1164.07,1820.73,High,Artist clinic follow-up
NAW-10016,2025-01-01,FY25 Q1,Northeast,Artist Relations,Prairie Note,Morgan Evans,Premium Strap,Accessory,Accessory,90,49.43,0.03,4448.7,2046.4,2402.3,High,Holiday prebuild
NAW-10017,2025-01-01,FY25 Q1,Northeast,Artist Relations,Main Street Frets,Alex Rivera,Summit Grand Auditorium,Guitar,Spruce/Walnut,5,1613.07,0.03,8065.35,4516.6,3548.75,High,Dealer replenishment
NAW-10018,2025-01-01,FY25 Q1,Northeast,Dealer,Metro Music Supply,Alex Rivera,Stage Cutaway,Guitar,Spruce/Ovangkol,30,1122.26,0.1,33667.8,19864.0,13803.8,Medium,Dealer replenishment
NAW-10019,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,2,1613.07,0.03,3226.14,1806.64,1419.5,Medium,Back-to-school promotion
NAW-10020,2025-01-01,FY25 Q1,Northeast,Artist Relations,Prairie Note,Samira Khan,Trail Mini,Guitar,HPL/Sapele,3,518.96,0,1556.88,996.4,560.48,Low,Dealer replenishment
NAW-10021,2025-01-01,FY25 Q1,Northeast,Dealer,Copper Canyon Guitars,Dana Hart,Northstar Ukulele,Instrument,Mahogany,35,326.66,0.1,11433.1,6974.19,4458.91,Low,Dealer replenishment
NAW-10022,2025-01-01,FY25 Q1,Northeast,Education,Copper Canyon Guitars,Jordan Lee,Trail Mini,Guitar,HPL/Sapele,26,456.68,0.12,11873.68,7599.16,4274.52,Low,Back-to-school promotion
NAW-10023,2025-01-01,FY25 Q1,Northeast,E-commerce,Metro Music Supply,Riley Stone,Harbor OM,Guitar,Spruce/Rosewood,29,1777.46,0.1,51546.34,27835.02,23711.32,Low,Holiday prebuild
NAW-10024,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Dana Hart,Phosphor Bronze Strings,Accessory,String set,50,14.98,0.1,749.0,314.58,434.42,Low,Accessory attach opportunity
NAW-10025,2025-01-01,FY25 Q1,Northeast,E-commerce,Cedar Hall Music,Jordan Lee,Harbor OM,Guitar,Spruce/Rosewood,17,1974.96,0,33574.32,18130.13,15444.19,Low,Accessory attach opportunity
NAW-10026,2025-01-01,FY25 Q1,Northeast,E-commerce,Bayfront Studio Gear,Casey Morgan,Foundry Custom,Guitar,Adirondack/Maple,20,3202.28,0.12,64045.6,31382.34,32663.26,Low,Holiday prebuild
NAW-10027,2025-01-01,FY25 Q1,Northeast,E-commerce,Blue Ridge Music,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,5,1579.81,0.05,7899.05,4423.47,3475.58,Low,Artist clinic follow-up
NAW-10140,2025-01-01,FY25 Q1,Northeast,Artist Relations,Lakeside Strings,Riley Stone,Foundry Custom,Guitar,Adirondack/Maple,31,3595.29,0.05,111453.99,54612.46,56841.53,Low,Accessory attach opportunity
NAW-10141,2025-01-01,FY25 Q1,Northeast,Distributor,Cedar Hall Music,Dana Hart,Coated Lifespan Strings,Accessory,String set,29,23.36,0.1,677.44,264.2,413.24,Medium,Back-to-school promotion
NAW-10142,2025-01-01,FY25 Q1,Northeast,Education,Desert Tone Co.,Casey Morgan,Trail Mini,Guitar,HPL/Sapele,31,523.53,0.03,16229.43,10386.84,5842.59,Low,Holiday prebuild
NAW-10143,2025-01-01,FY25 Q1,Northeast,E-commerce,Prairie Note,Riley Stone,Northstar Ukulele,Instrument,Mahogany,17,339.73,0.1,5775.41,3523.0,2252.41,Medium,Dealer replenishment
NAW-10144,2025-01-01,FY25 Q1,Northeast,Distributor,Lakeside Strings,Casey Morgan,Trail Mini,Guitar,HPL/Sapele,3,523.53,0.03,1570.59,1005.18,565.41,Low,Dealer replenishment
NAW-10145,2025-01-01,FY25 Q1,Northeast,Dealer,Riverbend Instruments,Casey Morgan,Foundry Custom,Guitar,Adirondack/Maple,7,3784.52,0,26491.64,12980.9,13510.74,Medium,Back-to-school promotion
NAW-10146,2025-01-01,FY25 Q1,Northeast,Artist Relations,Copper Canyon Guitars,Elliot Chen,Hardshell Case,Accessory,Case,76,208.45,0.12,15842.2,10297.43,5544.77,Low,Artist clinic follow-up
NAW-10147,2025-01-01,FY25 Q1,Northeast,Dealer,Prairie Note,Morgan Evans,Phosphor Bronze Strings,Accessory,String set,52,17.31,0,900.12,378.05,522.07,High,Dealer replenishment
NAW-10148,2025-01-01,FY25 Q1,Northeast,E-commerce,Bayfront Studio Gear,Dana Hart,Trail Mini,Guitar,HPL/Sapele,26,496.54,0.08,12910.04,8262.43,4647.61,Medium,Holiday prebuild
NAW-10149,2025-01-01,FY25 Q1,Northeast,Distributor,Blue Ridge Music,Priya Shah,Coated Lifespan Strings,Accessory,String set,137,24.66,0.05,3378.42,1317.58,2060.84,High,Dealer replenishment
NAW-10150,2025-01-01,FY25 Q1,Northeast,Dealer,Desert Tone Co.,Riley Stone,Harbor OM,Guitar,Spruce/Rosewood,3,1848.56,0.1,5545.68,2994.67,2551.01,Medium,Accessory attach opportunity
NAW-10151,2025-01-01,FY25 Q1,Northeast,Distributor,Main Street Frets,Alex Rivera,Humidifier Kit,Accessory,Care,141,27.6,0.12,3891.6,1673.39,2218.21,Low,Accessory attach opportunity
NAW-10152,2025-01-01,FY25 Q1,Northeast,Education,Bayfront Studio Gear,Elliot Chen,Northstar Ukulele,Instrument,Mahogany,25,347.28,0.08,8682.0,5296.02,3385.98,Medium,Accessory attach opportunity
NAW-10153,2025-01-01,FY25 Q1,Northeast,Artist Relations,Soundpost Music,Riley Stone,Humidifier Kit,Accessory,Care,130,29.8,0.05,3874.0,1665.82,2208.18,Low,Dealer replenishment
NAW-10154,2025-01-01,FY25 Q1,Northeast,E-commerce,Cedar Hall Music,Dana Hart,Humidifier Kit,Accessory,Care,61,30.43,0.03,1856.23,798.18,1058.05,Medium,Back-to-school promotion
NAW-10155,2025-01-01,FY25 Q1,Northeast,Artist Relations,Pacific Pick House,Casey Morgan,Aurora Dreadnought,Guitar,Spruce/Mahogany,16,1236.4,0.12,19782.4,11473.79,8308.61,High,Accessory attach opportunity
NAW-10156,2025-01-01,FY25 Q1,Northeast,Education,Metro Music Supply,Elliot Chen,Phosphor Bronze Strings,Accessory,String set,28,16.44,0.05,460.32,193.33,266.99,High,Accessory attach opportunity
NAW-10157,2025-01-01,FY25 Q1,Northeast,Artist Relations,Main Street Frets,Jordan Lee,Humidifier Kit,Accessory,Care,57,28.23,0.1,1609.11,691.92,917.19,Low,Holiday prebuild
NAW-10158,2025-01-01,FY25 Q1,Northeast,Dealer,Main Street Frets,Casey Morgan,Coated Lifespan Strings,Accessory,String set,64,23.36,0.1,1495.04,583.07,911.97,Medium,Dealer replenishment
NAW-10159,2025-01-01,FY25 Q1,Northeast,E-commerce,Pacific Pick House,Morgan Evans,Foundry Custom,Guitar,Adirondack/Maple,31,3481.76,0.08,107934.56,52887.93,55046.63,Low,Dealer replenishment
NAW-10160,2025-01-01,FY25 Q1,Northeast,Artist Relations,Blue Ridge Music,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,18,1556.53,0.1,28017.54,15689.82,12327.72,Low,Accessory attach opportunity
NAW-10161,2025-01-01,FY25 Q1,Northeast,Dealer,Lakeside Strings,Samira Khan,Foundry Custom,Guitar,Adirondack/Maple,24,3406.07,0.1,81745.68,40055.38,41690.3,Medium,Accessory attach opportunity
NAW-10162,2025-01-01,FY25 Q1,Northeast,Dealer,Lakeside Strings,Morgan Evans,Harbor OM,Guitar,Spruce/Rosewood,30,1992.34,0.03,59770.2,32275.91,27494.29,Low,Back-to-school promotion
NAW-10163,2025-01-01,FY25 Q1,Northeast,Distributor,Desert Tone Co.,Priya Shah,Humidifier Kit,Accessory,Care,158,29.8,0.05,4708.4,2024.61,2683.79,Low,Accessory attach opportunity
NAW-10164,2025-01-01,FY25 Q1,Northeast,Education,Desert Tone Co.,Elliot Chen,Trail Mini,Guitar,HPL/Sapele,36,512.73,0.05,18458.28,11813.3,6644.98,Low,Accessory attach opportunity
