OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10000,2025-01-01,FY25 Q1,Northeast,Artist Relations,Bayfront Studio Gear,Elliot Chen,Hardshell Case,Accessory,Case,94,220.93,0.03,20767.42,13498.82,7268.6,Medium,Accessory attach opportunity
NAW-10001,2025-01-01,FY25 Q1,Northeast,Dealer,Prairie Note,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,149,16.64,0,2479.36,1041.33,1438.03,Medium,Accessory attach opportunity
NAW-10002,2025-01-01,FY25 Q1,Northeast,Education,Metro Music Supply,Elliot Chen,Harbor OM,Guitar,Spruce/Rosewood,17,1974.96,0,33574.32,18130.13,15444.19,Low,Back-to-school promotion
NAW-10003,2025-01-01,FY25 Q1,Northeast,Artist Relations,Main Street Frets,Elliot Chen,Summit Grand Auditorium,Guitar,Spruce/Walnut,12,1496.66,0.1,17959.92,10057.56,7902.36,Medium,Dealer replenishment
NAW-10004,2025-01-01,FY25 Q1,Northeast,Distributor,Lakeside Strings,Priya Shah,Coated Lifespan Strings,Accessory,String set,27,23.71,0.05,640.17,249.67,390.5,High,Artist clinic follow-up
NAW-10005,2025-01-01,FY25 Q1,Northeast,Education,Riverbend Instruments,Alex Rivera,Phosphor Bronze Strings,Accessory,String set,110,15.81,0.05,1739.1,730.42,1008.68,Low,Back-to-school promotion
NAW-10006,2025-01-01,FY25 Q1,Northeast,Education,Bayfront Studio Gear,Jordan Lee,Premium Strap,Accessory,Accessory,62,45.86,0.1,2843.32,1307.93,1535.39,Medium,Back-to-school promotion
NAW-10007,2025-01-01,FY25 Q1,Northeast,Artist Relations,Cedar Hall Music,Samira Khan,Trail Mini,Guitar,HPL/Sapele,30,456.68,0.12,13700.4,8768.26,4932.14,Medium,Holiday prebuild
NAW-10008,2025-01-01,FY25 Q1,Northeast,Distributor,Blue Ridge Music,Casey Morgan,Premium Strap,Accessory,Accessory,107,44.84,0.12,4797.88,2207.02,2590.86,Low,Back-to-school promotion
NAW-10009,2025-01-01,FY25 Q1,Northeast,Dealer,Pacific Pick House,Morgan Evans,Harbor OM,Guitar,Spruce/Rosewood,7,1816.96,0.08,12718.72,6868.11,5850.61,High,Holiday prebuild
NAW-10010,2025-01-01,FY25 Q1,Northeast,Dealer,Riverbend Instruments,Samira Khan,Humidifier Kit,Accessory,Care,42,26.54,0.12,1114.68,479.31,635.37,Low,Holiday prebuild
NAW-10011,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Jordan Lee,Aurora Dreadnought,Guitar,Spruce/Mahogany,37,1215.86,0.1,44986.82,26092.36,18894.46,High,Artist clinic follow-up
NAW-10012,2025-01-01,FY25 Q1,Northeast,Education,Copper Canyon Guitars,Samira Khan,Coated Lifespan Strings,Accessory,String set,39,22.96,0.08,895.44,349.22,546.22,Low,Artist clinic follow-up
NAW-10013,2025-01-01,FY25 Q1,Northeast,E-commerce,Riverbend Instruments,Priya Shah,Aurora Dreadnought,Guitar,Spruce/Mahogany,16,1242.88,0.08,19886.08,11533.93,8352.15,High,Accessory attach opportunity
NAW-10014,2025-01-01,FY25 Q1,Northeast,Education,Metro Music Supply,Samira Khan,Aurora Dreadnought,Guitar,Spruce/Mahogany,6,1188.84,0.12,7133.04,4137.16,2995.88,Low,Accessory attach opportunity
NAW-10015,2025-01-01,FY25 Q1,Northeast,Dealer,Soundpost Music,Priya Shah,Coated Lifespan Strings,Accessory,String set,130,22.96,0.08,2984.8,1164.07,1820.73,High,Artist clinic follow-up
NAW-10016,2025-01-01,FY25 Q1,Northeast,Artist Relations,Prairie Note,Morgan Evans,Premium Strap,Accessory,Accessory,90,49.43,0.03,4448.7,2046.4,2402.3,High,Holiday prebuild
NAW-10017,2025-01-01,FY25 Q1,Northeast,Artist Relations,Main Street Frets,Alex Rivera,Summit Grand Auditorium,Guitar,Spruce/Walnut,5,1613.07,0.03,8065.35,4516.6,3548.75,High,Dealer replenishment
NAW-10018,2025-01-01,FY25 Q1,Northeast,Dealer,Metro Music Supply,Alex Rivera,Stage Cutaway,Guitar,Spruce/Ovangkol,30,1122.26,0.1,33667.8,19864.0,13803.8,Medium,Dealer replenishment
NAW-10019,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,2,1613.07,0.03,3226.14,1806.64,1419.5,Medium,Back-to-school promotion
NAW-10020,2025-01-01,FY25 Q1,Northeast,Artist Relations,Prairie Note,Samira Khan,Trail Mini,Guitar,HPL/Sapele,3,518.96,0,1556.88,996.4,560.48,Low,Dealer replenishment
NAW-10021,2025-01-01,FY25 Q1,Northeast,Dealer,Copper Canyon Guitars,Dana Hart,Northstar Ukulele,Instrument,Mahogany,35,326.66,0.1,11433.1,6974.19,4458.91,Low,Dealer replenishment
NAW-10022,2025-01-01,FY25 Q1,Northeast,Education,Copper Canyon Guitars,Jordan Lee,Trail Mini,Guitar,HPL/Sapele,26,456.68,0.12,11873.68,7599.16,4274.52,Low,Back-to-school promotion
NAW-10023,2025-01-01,FY25 Q1,Northeast,E-commerce,Metro Music Supply,Riley Stone,Harbor OM,Guitar,Spruce/Rosewood,29,1777.46,0.1,51546.34,27835.02,23711.32,Low,Holiday prebuild
NAW-10024,2025-01-01,FY25 Q1,Northeast,Distributor,Riverbend Instruments,Dana Hart,Phosphor Bronze Strings,Accessory,String set,50,14.98,0.1,749.0,314.58,434.42,Low,Accessory attach opportunity
NAW-10025,2025-01-01,FY25 Q1,Northeast,E-commerce,Cedar Hall Music,Jordan Lee,Harbor OM,Guitar,Spruce/Rosewood,17,1974.96,0,33574.32,18130.13,15444.19,Low,Accessory attach opportunity
NAW-10026,2025-01-01,FY25 Q1,Northeast,E-commerce,Bayfront Studio Gear,Casey Morgan,Foundry Custom,Guitar,Adirondack/Maple,20,3202.28,0.12,64045.6,31382.34,32663.26,Low,Holiday prebuild
NAW-10027,2025-01-01,FY25 Q1,Northeast,E-commerce,Blue Ridge Music,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,5,1579.81,0.05,7899.05,4423.47,3475.58,Low,Artist clinic follow-up
NAW-10028,2025-01-01,FY25 Q1,Southeast,E-commerce,Blue Ridge Music,Dana Hart,Foundry Custom,Guitar,Adirondack/Maple,23,3258.27,0.03,74940.21,36720.7,38219.51,Medium,Accessory attach opportunity
NAW-10029,2025-01-01,FY25 Q1,Southeast,Dealer,Riverbend Instruments,Jordan Lee,Northstar Ukulele,Instrument,Mahogany,14,318.29,0.05,4456.06,2718.2,1737.86,Medium,Back-to-school promotion
NAW-10030,2025-01-01,FY25 Q1,Southeast,Artist Relations,Blue Ridge Music,Morgan Evans,Aurora Dreadnought,Guitar,Spruce/Mahogany,34,1097.4,0.12,37311.6,21640.73,15670.87,Medium,Holiday prebuild
NAW-10031,2025-01-01,FY25 Q1,Southeast,E-commerce,Pacific Pick House,Morgan Evans,Foundry Custom,Guitar,Adirondack/Maple,18,3359.04,0,60462.72,29626.73,30835.99,Medium,Back-to-school promotion
NAW-10032,2025-01-01,FY25 Q1,Southeast,Education,Blue Ridge Music,Riley Stone,Coated Lifespan Strings,Accessory,String set,26,21.89,0.05,569.14,221.96,347.18,Low,Dealer replenishment
NAW-10033,2025-01-01,FY25 Q1,Southeast,Dealer,Pacific Pick House,Priya Shah,Trail Mini,Guitar,HPL/Sapele,8,464.67,0.03,3717.36,2379.11,1338.25,High,Dealer replenishment
NAW-10034,2025-01-01,FY25 Q1,Southeast,E-commerce,Desert Tone Co.,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,32,1350.84,0.12,43226.88,24207.05,19019.83,Medium,Artist clinic follow-up
NAW-10035,2025-01-01,FY25 Q1,Southeast,Dealer,Desert Tone Co.,Jordan Lee,Stage Cutaway,Guitar,Spruce/Ovangkol,31,1093.49,0.05,33898.19,19999.93,13898.26,High,Dealer replenishment
NAW-10036,2025-01-01,FY25 Q1,Southeast,Artist Relations,Main Street Frets,Priya Shah,Phosphor Bronze Strings,Accessory,String set,49,14.59,0.05,714.91,300.26,414.65,Low,Accessory attach opportunity
NAW-10037,2025-01-01,FY25 Q1,Southeast,Artist Relations,Bayfront Studio Gear,Alex Rivera,Trail Mini,Guitar,HPL/Sapele,2,455.09,0.05,910.18,582.52,327.66,Low,Artist clinic follow-up
NAW-10038,2025-01-01,FY25 Q1,Southeast,Distributor,Soundpost Music,Priya Shah,Humidifier Kit,Accessory,Care,79,27.0,0.03,2133.0,917.19,1215.81,Medium,Back-to-school promotion
NAW-10039,2025-01-01,FY25 Q1,Southeast,Education,Metro Music Supply,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,125,13.52,0.12,1690.0,709.8,980.2,Low,Accessory attach opportunity
NAW-10040,2025-01-01,FY25 Q1,Southeast,Dealer,Bayfront Studio Gear,Morgan Evans,Coated Lifespan Strings,Accessory,String set,136,21.89,0.05,2977.04,1161.05,1815.99,Low,Holiday prebuild
NAW-10041,2025-01-01,FY25 Q1,Southeast,Education,Blue Ridge Music,Samira Khan,Coated Lifespan Strings,Accessory,String set,70,23.04,0,1612.8,628.99,983.81,High,Dealer replenishment
NAW-10042,2025-01-01,FY25 Q1,Southeast,E-commerce,Riverbend Instruments,Alex Rivera,Premium Strap,Accessory,Accessory,129,45.63,0.03,5886.27,2707.68,3178.59,Medium,Holiday prebuild
NAW-10043,2025-01-01,FY25 Q1,Southeast,E-commerce,Copper Canyon Guitars,Dana Hart,Stage Cutaway,Guitar,Spruce/Ovangkol,35,1116.51,0.03,39077.85,23055.93,16021.92,Medium,Accessory attach opportunity
NAW-10044,2025-01-01,FY25 Q1,Southeast,Dealer,Cedar Hall Music,Elliot Chen,Stage Cutaway,Guitar,Spruce/Ovangkol,13,1116.51,0.03,14514.63,8563.63,5951.0,Medium,Holiday prebuild
NAW-10045,2025-01-01,FY25 Q1,Southeast,Distributor,Desert Tone Co.,Dana Hart,Northstar Ukulele,Instrument,Mahogany,32,318.29,0.05,10185.28,6213.02,3972.26,Low,Back-to-school promotion
NAW-10046,2025-01-01,FY25 Q1,Southeast,Artist Relations,Cedar Hall Music,Dana Hart,Aurora Dreadnought,Guitar,Spruce/Mahogany,34,1097.4,0.12,37311.6,21640.73,15670.87,Medium,Accessory attach opportunity
NAW-10047,2025-01-01,FY25 Q1,Southeast,Education,Soundpost Music,Taylor Brooks,Summit Grand Auditorium,Guitar,Spruce/Walnut,28,1350.84,0.12,37823.52,21181.17,16642.35,Low,Back-to-school promotion
NAW-10048,2025-01-01,FY25 Q1,Southeast,Dealer,Main Street Frets,Jordan Lee,Premium Strap,Accessory,Accessory,93,43.28,0.08,4025.04,1851.52,2173.52,Medium,Holiday prebuild
NAW-10049,2025-01-01,FY25 Q1,Southeast,E-commerce,Cedar Hall Music,Casey Morgan,Phosphor Bronze Strings,Accessory,String set,79,13.52,0.12,1068.08,448.59,619.49,Low,Accessory attach opportunity
NAW-10050,2025-01-01,FY25 Q1,Southeast,Dealer,Copper Canyon Guitars,Jordan Lee,Humidifier Kit,Accessory,Care,137,27.84,0,3814.08,1640.05,2174.03,Low,Artist clinic follow-up
NAW-10051,2025-01-01,FY25 Q1,Southeast,Dealer,Prairie Note,Elliot Chen,Foundry Custom,Guitar,Adirondack/Maple,28,3258.27,0.03,91231.56,44703.46,46528.1,Low,Holiday prebuild
NAW-10052,2025-01-01,FY25 Q1,Southeast,E-commerce,Cedar Hall Music,Riley Stone,Harbor OM,Guitar,Spruce/Rosewood,17,1731.89,0.05,29442.13,15898.75,13543.38,Medium,Back-to-school promotion
