OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10084,2025-01-01,FY25 Q1,Southwest,E-commerce,Metro Music Supply,Taylor Brooks,Hardshell Case,Accessory,Case,43,214.62,0,9228.66,5998.63,3230.03,Low,Artist clinic follow-up
NAW-10085,2025-01-01,FY25 Q1,Southwest,E-commerce,Desert Tone Co.,Jordan Lee,Humidifier Kit,Accessory,Care,42,27.57,0.03,1157.94,497.91,660.03,Low,Dealer replenishment
NAW-10086,2025-01-01,FY25 Q1,Southwest,Education,Prairie Note,Casey Morgan,Northstar Ukulele,Instrument,Mahogany,5,331.76,0.03,1658.8,1011.87,646.93,Medium,Artist clinic follow-up
NAW-10087,2025-01-01,FY25 Q1,Southwest,Artist Relations,Prairie Note,Taylor Brooks,Harbor OM,Guitar,Spruce/Rosewood,18,1861.02,0,33498.36,18089.11,15409.25,Medium,Back-to-school promotion
NAW-10088,2025-01-01,FY25 Q1,Southwest,Education,Metro Music Supply,Taylor Brooks,Phosphor Bronze Strings,Accessory,String set,143,13.8,0.12,1973.4,828.83,1144.57,Low,Back-to-school promotion
NAW-10089,2025-01-01,FY25 Q1,Southwest,Education,Pacific Pick House,Morgan Evans,Humidifier Kit,Accessory,Care,142,25.58,0.1,3632.36,1561.91,2070.45,Medium,Back-to-school promotion
NAW-10090,2025-01-01,FY25 Q1,Southwest,E-commerce,Copper Canyon Guitars,Priya Shah,Humidifier Kit,Accessory,Care,152,25.01,0.12,3801.52,1634.65,2166.87,Low,Holiday prebuild
NAW-10091,2025-01-01,FY25 Q1,Southwest,Distributor,Main Street Frets,Morgan Evans,Humidifier Kit,Accessory,Care,50,25.01,0.12,1250.5,537.72,712.78,Medium,Dealer replenishment
NAW-10092,2025-01-01,FY25 Q1,Southwest,E-commerce,Prairie Note,Morgan Evans,Northstar Ukulele,Instrument,Mahogany,37,342.02,0,12654.74,7719.39,4935.35,Low,Holiday prebuild
NAW-10093,2025-01-01,FY25 Q1,Southwest,Dealer,Metro Music Supply,Dana Hart,Coated Lifespan Strings,Accessory,String set,128,22.81,0.03,2919.68,1138.68,1781.0,Medium,Back-to-school promotion
NAW-10094,2025-01-01,FY25 Q1,Southwest,Dealer,Bayfront Studio Gear,Morgan Evans,Harbor OM,Guitar,Spruce/Rosewood,19,1637.7,0.12,31116.3,16802.8,14313.5,Low,Dealer replenishment
NAW-10095,2025-01-01,FY25 Q1,Southwest,Education,Metro Music Supply,Elliot Chen,Foundry Custom,Guitar,Adirondack/Maple,7,3257.57,0.05,22802.99,11173.47,11629.52,Medium,Back-to-school promotion
NAW-10096,2025-01-01,FY25 Q1,Southwest,Distributor,Soundpost Music,Dana Hart,Premium Strap,Accessory,Accessory,34,42.26,0.12,1436.84,660.95,775.89,Low,Artist clinic follow-up
NAW-10097,2025-01-01,FY25 Q1,Southwest,Dealer,Soundpost Music,Elliot Chen,Hardshell Case,Accessory,Case,64,188.87,0.12,12087.68,7856.99,4230.69,High,Artist clinic follow-up
NAW-10098,2025-01-01,FY25 Q1,Southwest,Distributor,Main Street Frets,Dana Hart,Coated Lifespan Strings,Accessory,String set,96,21.17,0.1,2032.32,792.6,1239.72,High,Holiday prebuild
NAW-10099,2025-01-01,FY25 Q1,Southwest,Education,Blue Ridge Music,Dana Hart,Humidifier Kit,Accessory,Care,138,28.42,0,3921.96,1686.44,2235.52,Medium,Back-to-school promotion
NAW-10100,2025-01-01,FY25 Q1,Southwest,Artist Relations,Copper Canyon Guitars,Jordan Lee,Northstar Ukulele,Instrument,Mahogany,16,307.82,0.1,4925.12,3004.32,1920.8,Low,Accessory attach opportunity
NAW-10101,2025-01-01,FY25 Q1,Southwest,Distributor,Main Street Frets,Samira Khan,Trail Mini,Guitar,HPL/Sapele,22,464.57,0.05,10220.54,6541.15,3679.39,Low,Back-to-school promotion
NAW-10102,2025-01-01,FY25 Q1,Southwest,Artist Relations,Main Street Frets,Morgan Evans,Trail Mini,Guitar,HPL/Sapele,21,449.9,0.08,9447.9,6046.66,3401.24,Medium,Accessory attach opportunity
NAW-10103,2025-01-01,FY25 Q1,Southwest,E-commerce,Pacific Pick House,Casey Morgan,Summit Grand Auditorium,Guitar,Spruce/Walnut,37,1567.02,0,57979.74,32468.65,25511.09,High,Back-to-school promotion
NAW-10104,2025-01-01,FY25 Q1,Southwest,Distributor,Metro Music Supply,Morgan Evans,Summit Grand Auditorium,Guitar,Spruce/Walnut,11,1567.02,0,17237.22,9652.84,7584.38,Low,Back-to-school promotion
NAW-10105,2025-01-01,FY25 Q1,Southwest,Education,Copper Canyon Guitars,Dana Hart,Summit Grand Auditorium,Guitar,Spruce/Walnut,19,1520.01,0.03,28880.19,16172.91,12707.28,Medium,Back-to-school promotion
NAW-10106,2025-01-01,FY25 Q1,Southwest,Artist Relations,Soundpost Music,Samira Khan,Coated Lifespan Strings,Accessory,String set,82,22.81,0.03,1870.42,729.46,1140.96,Medium,Dealer replenishment
NAW-10107,2025-01-01,FY25 Q1,Southwest,Dealer,Cedar Hall Music,Casey Morgan,Foundry Custom,Guitar,Adirondack/Maple,9,3154.7,0.08,28392.3,13912.23,14480.07,High,Dealer replenishment
NAW-10108,2025-01-01,FY25 Q1,Southwest,Dealer,Lakeside Strings,Elliot Chen,Phosphor Bronze Strings,Accessory,String set,108,15.21,0.03,1642.68,689.93,952.75,Low,Back-to-school promotion
NAW-10109,2025-01-01,FY25 Q1,Southwest,Dealer,Pacific Pick House,Alex Rivera,Humidifier Kit,Accessory,Care,118,27.0,0.05,3186.0,1369.98,1816.02,Low,Holiday prebuild
NAW-10110,2025-01-01,FY25 Q1,Southwest,Dealer,Pacific Pick House,Priya Shah,Harbor OM,Guitar,Spruce/Rosewood,19,1861.02,0,35359.38,19094.07,16265.31,Low,Dealer replenishment
NAW-10111,2025-01-01,FY25 Q1,Southwest,Distributor,Desert Tone Co.,Dana Hart,Summit Grand Auditorium,Guitar,Spruce/Walnut,25,1488.67,0.05,37216.75,20841.38,16375.37,Low,Back-to-school promotion
NAW-10224,2025-01-01,FY25 Q1,Southwest,Dealer,Bayfront Studio Gear,Morgan Evans,Stage Cutaway,Guitar,Spruce/Ovangkol,31,1160.92,0.05,35988.52,21233.23,14755.29,Medium,Dealer replenishment
NAW-10225,2025-01-01,FY25 Q1,Southwest,Distributor,Desert Tone Co.,Jordan Lee,Stage Cutaway,Guitar,Spruce/Ovangkol,35,1222.02,0,42770.7,25234.71,17535.99,Medium,Accessory attach opportunity
NAW-10226,2025-01-01,FY25 Q1,Southwest,Artist Relations,Copper Canyon Guitars,Priya Shah,Trail Mini,Guitar,HPL/Sapele,23,508.58,0,11697.34,7486.3,4211.04,Medium,Back-to-school promotion
NAW-10227,2025-01-01,FY25 Q1,Southwest,Distributor,Main Street Frets,Jordan Lee,Stage Cutaway,Guitar,Spruce/Ovangkol,14,1124.26,0.08,15739.64,9286.39,6453.25,Low,Artist clinic follow-up
NAW-10228,2025-01-01,FY25 Q1,Southwest,Artist Relations,Main Street Frets,Alex Rivera,Stage Cutaway,Guitar,Spruce/Ovangkol,5,1222.02,0,6110.1,3604.96,2505.14,Low,Artist clinic follow-up
NAW-10229,2025-01-01,FY25 Q1,Southwest,Education,Desert Tone Co.,Casey Morgan,Trail Mini,Guitar,HPL/Sapele,37,493.32,0.03,18252.84,11681.82,6571.02,Low,Accessory attach opportunity
NAW-10230,2025-01-01,FY25 Q1,Southwest,Distributor,Desert Tone Co.,Morgan Evans,Northstar Ukulele,Instrument,Mahogany,33,337.92,0.05,11151.36,6802.33,4349.03,Low,Accessory attach opportunity
NAW-10231,2025-01-01,FY25 Q1,Southwest,Distributor,Desert Tone Co.,Jordan Lee,Summit Grand Auditorium,Guitar,Spruce/Walnut,2,1434.14,0.12,2868.28,1606.24,1262.04,Low,Holiday prebuild
NAW-10232,2025-01-01,FY25 Q1,Southwest,E-commerce,Prairie Note,Morgan Evans,Foundry Custom,Guitar,Adirondack/Maple,14,3459.2,0.03,48428.8,23730.11,24698.69,Low,Dealer replenishment
