OrderID,OrderDate,FiscalQuarter,Region,Channel,Dealer,Salesperson,Product,Category,MaterialOrType,Units,UnitPrice,DiscountRate,Revenue,COGS,GrossMargin,BackorderRisk,Notes
NAW-10112,2025-01-01,FY25 Q1,West,Dealer,Riverbend Instruments,Taylor Brooks,Humidifier Kit,Accessory,Care,124,29.88,0.08,3705.12,1593.2,2111.92,Medium,Artist clinic follow-up
NAW-10113,2025-01-01,FY25 Q1,West,Education,Cedar Hall Music,Casey Morgan,Premium Strap,Accessory,Accessory,141,54.88,0,7738.08,3559.52,4178.56,Medium,Dealer replenishment
NAW-10114,2025-01-01,FY25 Q1,West,E-commerce,Main Street Frets,Jordan Lee,Coated Lifespan Strings,Accessory,String set,27,24.19,0.1,653.13,254.72,398.41,Medium,Accessory attach opportunity
NAW-10115,2025-01-01,FY25 Q1,West,Artist Relations,Pacific Pick House,Riley Stone,Trail Mini,Guitar,HPL/Sapele,21,502.99,0.1,10562.79,6760.19,3802.6,Medium,Accessory attach opportunity
NAW-10116,2025-01-01,FY25 Q1,West,E-commerce,Soundpost Music,Samira Khan,Premium Strap,Accessory,Accessory,26,48.29,0.12,1255.54,577.55,677.99,Low,Accessory attach opportunity
NAW-10117,2025-01-01,FY25 Q1,West,Education,Blue Ridge Music,Casey Morgan,Stage Cutaway,Guitar,Spruce/Ovangkol,22,1302.59,0.03,28656.98,16907.62,11749.36,Low,Back-to-school promotion
NAW-10118,2025-01-01,FY25 Q1,West,Distributor,Blue Ridge Music,Alex Rivera,Foundry Custom,Guitar,Adirondack/Maple,16,3801.31,0.03,60820.96,29802.27,31018.69,Medium,Dealer replenishment
NAW-10119,2025-01-01,FY25 Q1,West,Artist Relations,Blue Ridge Music,Riley Stone,Premium Strap,Accessory,Accessory,47,54.88,0,2579.36,1186.51,1392.85,Low,Accessory attach opportunity
NAW-10120,2025-01-01,FY25 Q1,West,E-commerce,Bayfront Studio Gear,Samira Khan,Stage Cutaway,Guitar,Spruce/Ovangkol,21,1208.59,0.1,25380.39,14974.43,10405.96,Low,Artist clinic follow-up
NAW-10121,2025-01-01,FY25 Q1,West,E-commerce,Desert Tone Co.,Riley Stone,Summit Grand Auditorium,Guitar,Spruce/Walnut,23,1790.88,0,41190.24,23066.53,18123.71,Medium,Accessory attach opportunity
NAW-10122,2025-01-01,FY25 Q1,West,Dealer,Lakeside Strings,Morgan Evans,Aurora Dreadnought,Guitar,Spruce/Mahogany,24,1454.88,0,34917.12,20251.93,14665.19,Low,Accessory attach opportunity
NAW-10123,2025-01-01,FY25 Q1,West,Education,Soundpost Music,Casey Morgan,Phosphor Bronze Strings,Accessory,String set,115,16.13,0.1,1854.95,779.08,1075.87,High,Accessory attach opportunity
NAW-10124,2025-01-01,FY25 Q1,West,Distributor,Prairie Note,Samira Khan,Humidifier Kit,Accessory,Care,98,29.88,0.08,2928.24,1259.14,1669.1,Low,Accessory attach opportunity
NAW-10125,2025-01-01,FY25 Q1,West,Dealer,Metro Music Supply,Dana Hart,Summit Grand Auditorium,Guitar,Spruce/Walnut,7,1647.61,0.08,11533.27,6458.63,5074.64,Low,Accessory attach opportunity
NAW-10126,2025-01-01,FY25 Q1,West,E-commerce,Prairie Note,Dana Hart,Hardshell Case,Accessory,Case,122,233.02,0.05,28428.44,18478.49,9949.95,High,Holiday prebuild
NAW-10127,2025-01-01,FY25 Q1,West,Distributor,Copper Canyon Guitars,Alex Rivera,Humidifier Kit,Accessory,Care,93,28.58,0.12,2657.94,1142.91,1515.03,High,Dealer replenishment
NAW-10128,2025-01-01,FY25 Q1,West,Distributor,Bayfront Studio Gear,Riley Stone,Phosphor Bronze Strings,Accessory,String set,141,17.02,0.05,2399.82,1007.92,1391.9,Medium,Artist clinic follow-up
NAW-10129,2025-01-01,FY25 Q1,West,Artist Relations,Lakeside Strings,Priya Shah,Premium Strap,Accessory,Accessory,133,49.39,0.1,6568.87,3021.68,3547.19,Medium,Dealer replenishment
NAW-10130,2025-01-01,FY25 Q1,West,Education,Prairie Note,Casey Morgan,Phosphor Bronze Strings,Accessory,String set,65,16.13,0.1,1048.45,440.35,608.1,Medium,Artist clinic follow-up
NAW-10131,2025-01-01,FY25 Q1,West,Dealer,Copper Canyon Guitars,Elliot Chen,Harbor OM,Guitar,Spruce/Rosewood,25,1956.73,0.08,48918.25,26415.86,22502.39,Low,Holiday prebuild
NAW-10132,2025-01-01,FY25 Q1,West,Artist Relations,Riverbend Instruments,Dana Hart,Aurora Dreadnought,Guitar,Spruce/Mahogany,32,1280.29,0.12,40969.28,23762.18,17207.1,High,Artist clinic follow-up
NAW-10133,2025-01-01,FY25 Q1,West,Education,Riverbend Instruments,Elliot Chen,Trail Mini,Guitar,HPL/Sapele,22,502.99,0.1,11065.78,7082.1,3983.68,Low,Dealer replenishment
NAW-10134,2025-01-01,FY25 Q1,West,Dealer,Prairie Note,Alex Rivera,Phosphor Bronze Strings,Accessory,String set,140,17.38,0.03,2433.2,1021.94,1411.26,High,Artist clinic follow-up
NAW-10135,2025-01-01,FY25 Q1,West,Education,Blue Ridge Music,Priya Shah,Trail Mini,Guitar,HPL/Sapele,27,491.81,0.12,13278.87,8498.48,4780.39,High,Holiday prebuild
NAW-10136,2025-01-01,FY25 Q1,West,E-commerce,Bayfront Studio Gear,Riley Stone,Hardshell Case,Accessory,Case,123,233.02,0.05,28661.46,18629.95,10031.51,Medium,Holiday prebuild
NAW-10137,2025-01-01,FY25 Q1,West,Dealer,Pacific Pick House,Priya Shah,Aurora Dreadnought,Guitar,Spruce/Mahogany,22,1411.23,0.03,31047.06,18007.29,13039.77,Medium,Holiday prebuild
NAW-10138,2025-01-01,FY25 Q1,West,E-commerce,Cedar Hall Music,Morgan Evans,Stage Cutaway,Guitar,Spruce/Ovangkol,8,1235.45,0.08,9883.6,5831.32,4052.28,High,Accessory attach opportunity
NAW-10139,2025-01-01,FY25 Q1,West,Distributor,Metro Music Supply,Priya Shah,Phosphor Bronze Strings,Accessory,String set,26,17.38,0.03,451.88,189.79,262.09,High,Artist clinic follow-up
NAW-10252,2025-01-01,FY25 Q1,West,Dealer,Blue Ridge Music,Taylor Brooks,Northstar Ukulele,Instrument,Mahogany,17,406.52,0,6910.84,4215.61,2695.23,Low,Holiday prebuild
